/content/drive/pre-data/VLSP-BIG-PREPROCESS/wavs/InfoRe_05562.wav|ở lại hơn tiếng rồi cô đi siêu thị mua thêm đồ ăn về nấu .|ở lại hơn tiếng rồi cô đi siêu thị mua thêm đồ ăn về nấu .
/content/drive/pre-data/VLSP-BIG-PREPROCESS/wavs/InfoRe_03795.wav|anh rời đi tưởng đâu tôi có thể cam tâm vứt bỏ ngổn ngang làm kẻ vô tâm tìm tới giấc ngủ một chút vì không thể chịu đựng được nữa rồi .|anh rời đi tưởng đâu tôi có thể cam tâm vứt bỏ ngổn ngang làm kẻ vô tâm tìm tới giấc ngủ một chút vì không thể chịu đựng được nữa rồi .
/content/drive/pre-data/VLSP-BIG-PREPROCESS/wavs/InfoRe_13771.wav|nhiều câu chuyện đau lòng đã xảy ra làm nghẹn lòng các bậc làm cha mẹ .|nhiều câu chuyện đau lòng đã xảy ra làm nghẹn lòng các bậc làm cha mẹ .
/content/drive/pre-data/VLSP-BIG-PREPROCESS/wavs/InfoRe_12907.wav|giải thích trâu húc người vì tiếng hò hét là không thuyết phục .|giải thích trâu húc người vì tiếng hò hét là không thuyết phục .
/content/drive/pre-data/VLSP-BIG-PREPROCESS/wavs/InfoRe_11704.wav|theo ts hoà các nhà nghiên cứu cho rằng các thuốc bảo vệ thực vật đều có hoạt chất gây đái tháo đường .|theo ts hoà các nhà nghiên cứu cho rằng các thuốc bảo vệ thực vật đều có hoạt chất gây đái tháo đường .
/content/drive/pre-data/VLSP-BIG-PREPROCESS/wavs/InfoRe_12818.wav|công ty cổ phần sách và thiết bị trường học gia lai trao quà và học bổng cho các trường học và các em học sinh nghèo vượt khó học giỏi .|công ty cổ phần sách và thiết bị trường học gia lai trao quà và học bổng cho các trường học và các em học sinh nghèo vượt khó học giỏi .
/content/drive/pre-data/VLSP-BIG-PREPROCESS/wavs/InfoRe_12497.wav|với tư cách là thủ tướng đã tiến hành các bước đi đúng đắn để ứng phó với lũ song thiên tai không thể lường trước .|với tư cách là thủ tướng đã tiến hành các bước đi đúng đắn để ứng phó với lũ song thiên tai không thể lường trước .
/content/drive/pre-data/VLSP-BIG-PREPROCESS/wavs/InfoRe_03566.wav|đôi khi họ phải chấp nhận làm việc trong những gánh xiếc để thu hút khán giả.|đôi khi họ phải chấp nhận làm việc trong những gánh xiếc để thu hút khán giả .
/content/drive/pre-data/VLSP-BIG-PREPROCESS/wavs/InfoRe_11913.wav|nhanh tay lên và đừng bỏ lỡ cơ hội ngàn vàng này nhé .|nhanh tay lên và đừng bỏ lỡ cơ hội ngàn vàng này nhé .
/content/drive/pre-data/VLSP-BIG-PREPROCESS/wavs/InfoRe_06363.wav|triều tiên sẽ sụp đổ nếu bị cắt nguồn cung cấp nhiên liệu .|triều tiên sẽ sụp đổ nếu bị cắt nguồn cung cấp nhiên liệu .
/content/drive/pre-data/VLSP-BIG-PREPROCESS/wavs/InfoRe_05236.wav|bá đạo cách chống trộm cực đơn giản chỉ bằng cốc hoặc ghế kiến .|bá đạo cách chống trộm cực đơn giản chỉ bằng cốc hoặc ghế kiến .
/content/drive/pre-data/VLSP-BIG-PREPROCESS/wavs/InfoRe_01735_3.wav|có tác dụng mang lại sinh khí và cảm giác an tâm .|có tác dụng mang lại sinh khí và cảm giác an tâm .
